"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 05 11:56:51 UTC 2026","Fri Jun 05 11:56:51 UTC 2026","2","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.AppointmentPageTest","com.intelehealth.tests.AppointmentPageTest","IDA4_1787_Appointments","IDA4_1787_Appointments_Verify whether Appointment section is showing count within brackets","Verify whether Appointment section is showing count within brackets"
"passed","Fri Jun 05 10:31:01 UTC 2026","Fri Jun 05 10:31:15 UTC 2026","13523","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.HelpSupportLogoutTest","com.intelehealth.tests.HelpSupportLogoutTest","verifyCreateTicketWithNoData","Verify Create Ticket With No Data","Verify Create Ticket With No Data"
"broken","Fri Jun 05 10:07:17 UTC 2026","Fri Jun 05 10:07:53 UTC 2026","35556","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.FilterTest","com.intelehealth.tests.FilterTest","VerifyFilteringVisitsByRange","Verify Filtering Visits By Range","Verify Filtering Visits By Range"
"passed","Fri Jun 05 09:35:58 UTC 2026","Fri Jun 05 09:36:02 UTC 2026","4234","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.DashboardPageTest","com.intelehealth.tests.DashboardPageTest","IDA4_1574_Dashboard","IDA4_1574_Dashboard_Verify the count shown for Appointments/Priority visits/Awaiting visits and In-Progress visits in the box","Verify the count shown for Appointments/Priority visits/Awaiting visits and In-Progress visits in the box"
"broken","Fri Jun 05 12:13:15 UTC 2026","Fri Jun 05 12:13:36 UTC 2026","20296","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.CalendarPageTest","com.intelehealth.tests.CalendarPageTest","IDA4_1909_Calendar","IDA4_1909_Calendar_Verify that Prescription created message is displayed for completed follow-up visit ","Verify that Prescription created message is displayed for completed follow-up visit "
"broken","Fri Jun 05 10:40:24 UTC 2026","Fri Jun 05 10:41:00 UTC 2026","35899","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.MessagesPageTest","com.intelehealth.tests.MessagesPageTest","VerifySendingAnEmptyMessageIsNotAllowed","Verify Sending an Empty Message Is Not Allowed","Verify Sending an Empty Message Is Not Allowed"
"broken","Fri Jun 05 09:33:58 UTC 2026","Fri Jun 05 09:34:21 UTC 2026","23259","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.ChatPageTest","com.intelehealth.tests.ChatPageTest","IDA4_1830_Chat","IDA4_1830_Verify sending message in chat","Verify sending message in chat"
"broken","Fri Jun 05 10:39:36 UTC 2026","Fri Jun 05 10:40:10 UTC 2026","34067","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.MessagesPageTest","com.intelehealth.tests.MessagesPageTest","VerifySearchWithInvalidPatientName","Verify Search with Invalid Patient Name","Verify Search with Invalid Patient Name"
"passed","Fri Jun 05 10:57:57 UTC 2026","Fri Jun 05 11:03:29 UTC 2026","331911","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.AwaitPriortyInProgressTest","com.intelehealth.tests.AwaitPriortyInProgressTest","IDA4_1702_StartVisitNote","IDA4_1702_StartVisitNote_Verify Dashboard screen is displayed after Login","Verify Dashboard screen is displayed after Login"
"failed","Fri Jun 05 09:41:05 UTC 2026","Fri Jun 05 09:41:26 UTC 2026","21086","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.DashboardPageTest","com.intelehealth.tests.DashboardPageTest","IDA4_1585_Dashboard","IDA4_1585_Dashboard_Verify that user on clicking any of the priority visits navigates to visit summary page","Verify that user on clicking any of the priority visits navigates to visit summary page"
